Alphabet,Obeservations,Slope
A,38234,0.00043091932704933866
B,38405,0.0008908421683186068
C,38327,0.00769689436354438
D,38309,-0.002584722739828233
E,38547,-0.006771268914466975
F,38704,0.009832140661377303
G,38459,-0.0014077906340630158
H,38194,0.0032762625185066264
I,38438,0.0054565313064231825
J,38413,-0.004127339093904587
K,38376,0.006628398362622027
L,38451,0.009428697100286683
M,38249,0.002112358518502906
N,38855,0.0008444953336533331
O,38793,-0.007709459250260889
P,38465,-7.522243906312206e-05
Q,38547,0.0020136694636731576
R,38564,-0.0012554609163790958
S,38425,-0.0001382718580672323
T,38747,0.0025897288602618374
U,38515,0.0020546420359498917
V,38478,0.00045269044229547027
W,38569,-0.003935571926543552
X,38182,-0.005922076166101671
Y,38573,-0.008262714955016685
Z,38181,0.003300857144775545
